regime,regime_label,library,transform,status,reason,source_files
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+Blur+Normalize+ToTensor,unsupported,DALI image pipeline does not implement transform 'Blur',results/published/paper-rgb-dataloader-dali-g2-standard-16-2026-05-04/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+ChannelDropout+Normalize+ToTensor,unsupported,DALI image pipeline does not implement transform 'ChannelDropout',results/published/paper-rgb-dataloader-dali-g2-standard-16-2026-05-04/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+ChannelShuffle+Normalize+ToTensor,unsupported,DALI image pipeline does not implement transform 'ChannelShuffle',results/published/paper-rgb-dataloader-dali-g2-standard-16-2026-05-04/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+CornerIllumination+Normalize+ToTensor,unsupported,DALI image pipeline does not implement transform 'CornerIllumination',results/published/paper-rgb-dataloader-dali-g2-standard-16-2026-05-04/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+Elastic+Normalize+ToTensor,unsupported,DALI image pipeline does not implement transform 'Elastic',results/published/paper-rgb-dataloader-dali-g2-standard-16-2026-05-04/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+EnhanceDetail+Normalize+ToTensor,unsupported,DALI image pipeline does not implement transform 'EnhanceDetail',results/published/paper-rgb-dataloader-dali-g2-standard-16-2026-05-04/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+EnhanceEdge+Normalize+ToTensor,unsupported,DALI image pipeline does not implement transform 'EnhanceEdge',results/published/paper-rgb-dataloader-dali-g2-standard-16-2026-05-04/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+GaussianIllumination+Normalize+ToTensor,unsupported,DALI image pipeline does not implement transform 'GaussianIllumination',results/published/paper-rgb-dataloader-dali-g2-standard-16-2026-05-04/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+Grayscale+Normalize+ToTensor,unsupported,DALI image pipeline does not implement transform 'Grayscale',results/published/paper-rgb-dataloader-dali-g2-standard-16-2026-05-04/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+Invert+Normalize+ToTensor,unsupported,DALI image pipeline does not implement transform 'Invert',results/published/paper-rgb-dataloader-dali-g2-standard-16-2026-05-04/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+LinearIllumination+Normalize+ToTensor,unsupported,DALI image pipeline does not implement transform 'LinearIllumination',results/published/paper-rgb-dataloader-dali-g2-standard-16-2026-05-04/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json
