regime,regime_label,library,transform,status,supported,early_stopped,num_successful_runs,median_throughput,mean_throughput,std_throughput,cv_throughput,ci95,gpu_peak_allocated_mb,gpu_peak_reserved_mb,reason,source_files
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+HorizontalFlip+Normalize+ToTensor,ok,True,False,3,5218.143511078761,5165.063846498622,144.22496917218172,0.027923172579938444,163.20591655983222,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+Hue+Normalize+ToTensor,ok,True,False,3,4697.977937631386,4683.651246778188,47.69603995166067,0.01018351654266958,53.97315015052605,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+Invert+Normalize+ToTensor,ok,True,False,3,5491.894898125391,5481.033544374831,94.07324523318061,0.017163413518920662,106.45389837948028,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+JpegCompression+Normalize+ToTensor,ok,True,False,3,4106.199380257377,4112.965884667718,150.99196960527442,0.03671121371760975,170.86349842227088,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+LinearIllumination+Normalize+ToTensor,ok,True,False,3,4076.2646218444656,4092.0254836396093,80.59367684356566,0.019695301792666858,91.20033080040412,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+LongestMaxSize+Normalize+ToTensor,ok,True,False,3,1316.8638105134712,1330.1704305968922,28.933707115321816,0.021751879646233218,32.74157183970229,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+MedianBlur+Normalize+ToTensor,ok,True,False,3,4038.148979750936,4070.352024502908,100.28221492132262,0.024637233909410965,113.48000900832474,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+MotionBlur+Normalize+ToTensor,ok,True,False,3,4614.752875594858,4649.946389621442,120.92746295157522,0.026006205839594655,136.8423064435205,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+Normalize+ToTensor,ok,True,False,3,5084.525347676295,5045.950136096931,108.50737066241186,0.021503853136833194,122.7876489355639,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+OpticalDistortion+Normalize+ToTensor,ok,True,False,3,3556.4438660851315,3532.6395597908654,62.25299996676615,0.01762223371875832,70.44590112580143,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
